file_name,file_path,file_extension,file_size_mb,content_length,content_hash,mime_type,semantic_categories,project_context,content_type,key_phrases,relationships,intelligent_description,organization_priority,suggested_destination,restore_instructions,backup_recommended,code_complexity,documentation_quality,project_maturity,technical_debt
vidIQ CSV export for I've Had It 2025-05-10.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/vidIQ CSV export for I've Had It 2025-05-10.csv,.csv,0.0,4107,5026b50c3436af25,text/csv,web_development; portfolio_work; automation_scripts,as_man_thinketh,structured_data,https,url_linktr.ee; url_www.youtube.com; url_linktr.ee; url_www.youtube.com; url_linktr.ee; versioned_file,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | Web development project | Portfolio or professional work | Contains: https,37,~/Documents/CsV/As-a-Man-Thinketh/Data/Web-Development/Experimental,Part of as man thinketh project,False,low,low,low,low
Instagram Ai 4ec70cde15a44036980ca9dbde3e1086.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/Instagram Ai 4ec70cde15a44036980ca9dbde3e1086.csv,.csv,0.02,16443,a22ee1ec5e3642c8,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,47,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Shorts - 2024 15336221d8b280be9760eae3f1708be2.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/Shorts - 2024 15336221d8b280be9760eae3f1708be2.csv,.csv,4.15,2095704,35ad405293385ab9,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,markdown_documentation,,references_http://www.incamayanaztec.com/index.html; url_www.worldhistory.org; url_www.ancient.eu; url_www.ancient.eu; url_www.youtube.com; url_twitter.com; versioned_file,Small file - likely configuration or simple content | Markdown documentation with structured content | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project | Some technical debt present,65,~/Documents/CsV/As-a-Man-Thinketh/Documentation/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,medium
Quiz 3-29 f8fdbd4051f8413a813b950dfdf2b497.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/Quiz 3-29 f8fdbd4051f8413a813b950dfdf2b497.csv,.csv,0.0,80,8ea8106fab4a01be,text/csv,,general,general_content,,,Small file - likely configuration or simple content | General content file | General project file,0,~/Documents/CsV/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
GPTs 6c2ff37690e743958aeb50d8aad8af3f.csv,/Users/steven/Documents/Notion/OS Pages 190172d3915b4f54b350e17e2ca81e51/GPTs 228f4e54b03f405aa2fcb234a102456c/GPTs 6c2ff37690e743958aeb50d8aad8af3f.csv,.csv,0.0,2427,85f6d85768e599c1,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; media_content; configuration,as_man_thinketh,structured_data,"openai; https; i'll help turn your wildest dreams into die-cut stickers, shipped right to your door.; gpt",url_chat.openai.com; url_chat.openai.com; url_chat.openai.com; url_chat.openai.com; url_chat.openai.com,"Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project | Contains: openai, https, i'll help turn your wildest dreams into die-cut stickers, shipped right to your door.",37,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Table 7.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 7.csv,.csv,0.0,4692,d97dafbac193b4d7,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 6.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 6.csv,.csv,0.0,3828,cbeed3de1be1a829,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 4.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 4.csv,.csv,0.0,1450,69ab64edaeb478e7,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 5.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 5.csv,.csv,0.0,2368,833839c7bf217071,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 1.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 1.csv,.csv,0.0,2504,85d7d5728cf9ad04,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 2.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 2.csv,.csv,0.0,1846,ff01b2e27a9bdc28,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 3.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 3.csv,.csv,0.0,1896,adcd73a5ad705dc4,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 19.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 19.csv,.csv,0.0,3060,1fb01fe88cb2a4e5,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 18.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 18.csv,.csv,0.0,3192,a26333a7e5e49f09,text/csv,documentation,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | Documentation or guides,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 22.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 22.csv,.csv,0.0,1206,94238bba3b5ad637,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 20.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 20.csv,.csv,0.0,3440,adfc801ff538dfd4,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 21.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 21.csv,.csv,0.0,3132,8557a7143d091637,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 10.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 10.csv,.csv,0.0,2944,c0fe5996fbdb7895,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 11.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 11.csv,.csv,0.0,3552,9b43c350efccec4f,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 13.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 13.csv,.csv,0.0,3868,45d78a51b30325fc,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 12.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 12.csv,.csv,0.0,2806,fd67d78fed522ab1,text/csv,documentation,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | Documentation or guides,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 16.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 16.csv,.csv,0.0,2444,46409018532d63fe,text/csv,documentation,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | Documentation or guides,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 17.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 17.csv,.csv,0.0,2906,d53d6b80f58ad5aa,text/csv,documentation,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file | Documentation or guides,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 15.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 15.csv,.csv,0.0,3188,5d2550e1b5d70a6e,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 14.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 14.csv,.csv,0.0,3126,d1b4e0f830a5635b,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 8.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 8.csv,.csv,0.0,3906,75780e452537f20b,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Table 9.csv,/Users/steven/Documents/Docs/05_Documentation_and_Notes/Documentation/Intro AI Course Plan.csv/Table 9.csv,.csv,0.0,3154,7c0bb61e88a43eaf,text/csv,,general,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | General project file,1,~/Documents/CsV/Data/Experimental,Standard file - can be restored to any appropriate location,False,low,low,low,low
Untitled 15036221d8b280a6a687d00887bcde01.csv,/Users/steven/Documents/Notion/LeoNardo 15036221d8b280ec91cfd065d34925cb/Untitled 15036221d8b280a6a687d00887bcde01.csv,.csv,0.0,297,c2a7b6ea9448d2cd,text/csv,documentation,youtube_content,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | Documentation or guides,0,~/Documents/CsV/YouTube-Content/Data/Experimental,Part of youtube content project,False,low,low,low,low
Untitled 15136221d8b280f69eb4e2cba22a8a02.csv,/Users/steven/Documents/Notion/Export-50ef9a3a-d739-42e2-98a2-0a2d15b23936/MyDesigns 15136221d8b2807599d9c367138d35cc/Untitled 15136221d8b280f69eb4e2cba22a8a02.csv,.csv,0.04,37808,8744881a0e0fb947,text/csv,ai_ml; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,youtube_content,markdown_documentation,,versioned_file,Small file - likely configuration or simple content | Markdown documentation with structured content | YouTube content or video-related material | AI/ML related content | Data analysis or research,37,~/Documents/CsV/YouTube-Content/Documentation/AI-ML/Experimental,Part of youtube content project,False,low,low,low,low
Prompt Library AI for Instagram 15936221d8b28049bf07faeb53ff572d.csv,/Users/steven/Documents/Notion/Prompt Library AI for Instagram 15936221d8b28049bf07faeb53ff572d.csv,.csv,0.01,15264,d04cbc9fbf6be88b,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,47,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
DigiTaL DiVe 15236221d8b2808aa697d88175ddfe35.csv,/Users/steven/Documents/Notion/DigiTaL DiVe 15236221d8b2808aa697d88175ddfe35.csv,.csv,1.1,1151493,c789330b504a0d76,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,markdown_documentation,,url_leonardo.ai; url_leonardo.ai; url_images.pexels.com; url_images.pexels.com; url_aiavatararts.com; versioned_file,Small file - likely configuration or simple content | Markdown documentation with structured content | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,65,~/Documents/CsV/As-a-Man-Thinketh/Documentation/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Prompt Library AI for Instagram 15936221d8b28045a20bcc42b884ed8d.csv,/Users/steven/Documents/Notion/Prompt Library AI for Instagram 15936221d8b28045a20bcc42b884ed8d.csv,.csv,0.01,15231,1582d7af8de87507,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content; configuration,as_man_thinketh,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,47,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Prompts 3d7f55f1c5ac4d52af74a322b93f871b.csv,/Users/steven/Documents/Notion/Prompts 3d7f55f1c5ac4d52af74a322b93f871b.csv,.csv,0.01,9957,9fd870a9772b05a8,text/csv,ai_ml; web_development; data_analysis; portfolio_work; documentation; automation_scripts; media_content,as_man_thinketh,structured_data,,,Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | Part of the 'As a Man Thinketh' audiobook project | AI/ML related content | Web development project,45,~/Documents/CsV/As-a-Man-Thinketh/Data/AI-ML/Experimental,Part of as man thinketh project,False,low,low,low,low
Directory 15936221d8b281ccaf09d4e6c7916f88.csv,/Users/steven/Documents/Notion/TDD (Beta Version) 15936221d8b280bea63aed48ea536adb/Directory 15936221d8b281ccaf09d4e6c7916f88.csv,.csv,0.0,1622,92c286a33d1cadf3,text/csv,web_development; documentation; automation_scripts; media_content,youtube_content,structured_data,"https; inspiration, type & lettering",url_www.nomadstudio.com; url_www.aiga.org; url_benditomockup.com; url_blazetype.eu; url_www.underconsideration.com,"Small file - likely configuration or simple content | Structured data file (JSON/XML/YAML) | YouTube content or video-related material | Web development project | Documentation or guides | Contains: https, inspiration, type & lettering",17,~/Documents/CsV/YouTube-Content/Data/Web-Development/Experimental,Part of youtube content project,False,low,low,low,low
